step,validation_nll,development_nll,finite
1000,2.553278928,2.619808501,true
1250,2.524400767,2.604521827,true
1500,2.506389371,2.547832968,true
1750,2.492214889,2.513165965,true
2000,2.496399944,2.541802317,true
2250,2.492976259,2.538113927,true
2500,2.466208432,2.515669031,true
2750,2.455073563,2.503830623,true
3000,2.466522466,2.473136355,true
3250,2.456465155,2.511873227,true
3500,2.452485026,2.454248166,true
3750,2.422245173,2.447019045,true
4000,2.459396584,2.455842179,true
4250,2.432641726,2.426575804,true
4500,2.467897173,2.440225848,true
4750,2.408547355,2.445395837,true
5000,2.409381422,2.417572812,true
5250,2.411252439,2.384216327,true
5500,2.42661077,2.430308326,true
5750,2.404449606,2.365919334,true
6000,2.429418899,2.419331977,true
6250,2.413352784,2.400459459,true
6500,2.41666146,2.397784232,true
6750,2.407893421,2.384341508,true
7000,2.409104784,2.39301916,true
7250,2.370405947,2.367420985,true
7500,2.402882021,2.396259382,true
7750,2.394294911,2.401460772,true
8000,2.384695917,2.371562178,true
