report,checkpoint_step,prefix_index,cpu_logits_std,htp_logits_std,cpu_logits_rms,htp_logits_rms,scale_ratio
seed1-l19-greedy-step1000-max64-result.txt,1000,0,3.051267105,3.049208499,3.569398664,3.567377989,0.9993253275
seed1-l19-greedy-step1000-max64-result.txt,1000,1,3.400457099,3.397723057,3.406863877,3.404127861,0.9991959781
seed1-l19-greedy-step1000-max64-result.txt,1000,2,2.685276624,2.684596518,2.686216587,2.685543196,0.9997467278
seed1-l19-greedy-step1000-max64-result.txt,1000,3,3.314904561,3.314067344,3.32014945,3.319294682,0.9997474387
seed1-l19-greedy-step1000-max64-result.txt,1000,4,1.811504696,1.8114399,1.87130831,1.870857906,0.9999642312
seed1-l19-greedy-step1000-max64-result.txt,1000,5,2.834162575,2.833049176,3.236710001,3.235535291,0.9996071506
seed1-l19-greedy-step1000-max64-result.txt,1000,6,3.224627818,3.225351641,3.234021132,3.234694015,1.000224467
seed1-l19-greedy-step1000-max64-result.txt,1000,7,3.678563786,3.677345296,3.838186561,3.836241408,0.9996687593
seed1-l19-greedy-step1000-max64-result.txt,1000,8,3.212205117,3.217231628,3.212643923,3.217668538,1.001564816
seed1-l19-greedy-step1000-max64-result.txt,1000,9,2.750423681,2.751914932,2.89773361,2.899781342,1.00054219
seed1-l19-greedy-step1000-max64-result.txt,1000,10,2.502959969,2.503419081,2.520199767,2.520553235,1.000183428
seed1-l19-greedy-step1000-max64-result.txt,1000,11,2.085472552,2.083971325,2.218706362,2.216964102,0.9992801503
seed1-l19-greedy-step1000-max64-result.txt,1000,12,2.343025656,2.340587265,2.466869798,2.464741639,0.9989592985
seed1-l19-greedy-step1000-max64-result.txt,1000,13,1.844117366,1.838108426,2.099988748,2.091859798,0.9967415631
seed1-l19-greedy-step1000-max64-result.txt,1000,14,1.586196176,1.589333067,1.61237504,1.615193282,1.001977619
seed1-l19-greedy-step1000-max64-result.txt,1000,15,2.647026624,2.647062285,2.690492318,2.690587052,1.000013472
seed1-l19-greedy-step1000-max64-result.txt,1000,16,2.515768979,2.517237405,2.857144462,2.859498651,1.000583689
seed1-l19-greedy-step1000-max64-result.txt,1000,17,3.253132925,3.25409276,3.254340085,3.255329605,1.000295049
seed1-l19-greedy-step1000-max64-result.txt,1000,18,2.573206567,2.57486437,2.641987611,2.643262216,1.000644256
seed1-l19-greedy-step1000-max64-result.txt,1000,19,2.02433732,2.026827506,2.318246394,2.321121405,1.001230124
seed1-l19-greedy-step1000-max64-run2-result.txt,1000,0,3.051267105,3.049208499,3.569398664,3.567377989,0.9993253275
seed1-l19-greedy-step1000-max64-run2-result.txt,1000,1,3.400457099,3.397723057,3.406863877,3.404127861,0.9991959781
seed1-l19-greedy-step1000-max64-run2-result.txt,1000,2,2.685276624,2.684596518,2.686216587,2.685543196,0.9997467278
seed1-l19-greedy-step1000-max64-run2-result.txt,1000,3,3.314904561,3.314067344,3.32014945,3.319294682,0.9997474387
