fault,legacy_policy,candidate_full_policy,decision_ambiguous,raw_max_abs,centered_max_abs,logsoftmax_max_abs,prob_max_abs,prob_l1,js_divergence,scale_ratio,margin_cpu
f1_common_offset_1e-3,1,1,0,1.000002027e-03,1.364105628e-08,1.351995316e-08,9.334562984e-11,1.432419391e-09,3.964011245e-18,0.999999984,0.300000
f2_common_offset_3e-2,0,1,0,3.000000119e-02,2.887827577e-08,2.873719573e-08,1.984098233e-10,1.323964644e-09,1.408267512e-18,0.999999983,0.300000
f3_common_offset_5e-1,0,0,0,5.000000298e-01,3.002060112e-08,3.003717008e-08,1.314436268e-10,9.359653845e-09,2.375866944e-17,0.999999998,0.300000
f4_single_logit_5e-2,0,0,0,5.000000075e-02,4.980468824e-02,4.979537815e-02,2.037850143e-04,4.075700286e-04,1.273525324e-06,1.001412197,0.300000
f5_swap_margin_4e-1,0,0,1,4.299999923e-01,4.283203048e-01,4.272577735e-01,2.724465755e-03,5.448931511e-03,1.453432842e-04,1.104922516,0.400000
f6_swap_margin_5e-3,1,1,1,4.999995232e-03,4.999995232e-03,4.999995232e-03,3.454483353e-05,6.908966707e-05,4.318095576e-08,1.000000000,0.005000
f7_scale_1.02,1,0,0,9.999990463e-03,1.146334866e-02,1.131439895e-02,7.856144896e-05,1.357602822e-03,3.953260419e-07,1.019999981,0.300000
f8_scale_1.004,1,1,0,1.999974251e-03,2.292642377e-03,2.263105728e-03,1.564282380e-05,2.714588298e-04,1.579295944e-08,1.003999947,0.300000
f9_noise_sigma1e-3,1,1,0,3.098204732e-03,3.103177222e-03,3.092270411e-03,1.123006462e-05,8.340970356e-04,1.323506503e-07,1.001476157,0.300000
f10_noise_sigma1e-1,0,0,0,3.400457725e-01,3.424438796e-01,3.375165879e-01,1.749801148e-03,8.289761015e-02,1.384367015e-03,1.558686000,0.300000
f11_mass_redistribution,0,0,0,1.928500226e-01,1.207427895e-01,1.236678180e-01,4.848417626e-04,6.036617140e-02,6.055944954e-04,0.409344031,0.300000
f12_nan_element,0,0,0,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,nan,nan,nan,0.300000
f13_inf_element,0,0,1,inf,inf,0.000000000e+00,0.000000000e+00,nan,nan,nan,0.300000
f14_ninf_element,0,0,0,inf,inf,inf,4.196045008e-03,8.392090015e-03,1.456443861e-03,nan,0.300000
f15_all_zero_row,0,0,0,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000,0.000000
