step,parameter_hash,validation_nll,development_nll,finite
250,fnv1a64:a040e656f8c3739e,3.013269539,2.663210327,true
500,fnv1a64:edadad9a8010c2ff,2.842602928,2.538704321,true
750,fnv1a64:5e01b1018fbdc4a1,2.735045147,2.316269522,true
1000,fnv1a64:361f12324a988fbf,2.663501309,2.357411161,true
1250,fnv1a64:8a19f499f0f3759a,2.584860416,2.410150697,true
1500,fnv1a64:2bc29e3580c5beeb,2.58205775,2.353857412,true
1750,fnv1a64:150af61f7ee6b9de,2.636554272,2.247088882,true
2000,fnv1a64:82ce2a35792c2069,2.563573121,2.319330421,true
2250,fnv1a64:3a831daceb3cb4ea,2.479466941,2.290671191,true
2500,fnv1a64:8f75ca62cf0ee026,2.461586147,2.299736241,true
2750,fnv1a64:c9bf4e819cfa7fd8,2.771072268,2.350788702,true
3000,fnv1a64:9a85b3b828cfa648,2.567252276,2.208365317,true
3250,fnv1a64:3c92540082ab655a,2.578387985,2.314309211,true
3500,fnv1a64:f6a73711d6153d73,2.574432521,2.236545663,true
3750,fnv1a64:d081bc5f73c6873e,2.448310599,2.256466103,true
4000,fnv1a64:55b75df3f61c47a6,2.474983041,2.232212549,true
4250,fnv1a64:2326823ae90ed8af,2.535167609,2.214003029,true
4500,fnv1a64:15cd16572b07ec74,2.483669309,2.170781753,true
4750,fnv1a64:3253d48e05f0299e,2.520343395,2.174900745,true
5000,fnv1a64:725e189191ff3335,2.458032228,2.094741096,true
5250,fnv1a64:7689f8b807c09813,2.558862682,2.137611041,true
5500,fnv1a64:cc7bdaa0db50f712,2.42994956,2.100763041,true
5750,fnv1a64:5190c9f4f9fca741,2.419980136,2.163327588,true
6000,fnv1a64:61efc2de79b62f49,2.390792005,2.107634579,true
6250,fnv1a64:8b4d9410e5bd1b63,2.539986764,2.145250027,true
6500,fnv1a64:3d97e416cfd7e0f7,2.532727392,2.1116945,true
6750,fnv1a64:3eb7b84cc94457ed,2.39461342,2.120310062,true
7000,fnv1a64:608728904616645d,2.360829795,2.159293604,true
7250,fnv1a64:dbf857e4c4154f73,2.355910221,2.114540634,true
7500,fnv1a64:2fe498c96a7d0ec5,2.502072066,2.100785282,true
7750,fnv1a64:cdf990c0ffbcc748,2.410271019,2.039614219,true
8000,fnv1a64:1c4b73fa36ced86a,2.348671314,2.054353518,true
