seed,layers,step,cpu_loss,htp_loss,parameter_max_abs_error,first_moment_max_abs_error,second_moment_max_abs_error,finite
1,19,2,5.452711582,5.497579575,0.00801564008,0.01037773234,2.297406172e-05,true
1,19,4,5.169598103,5.34622097,0.0145569779,0.03725211322,0.0002916702651,true
1,19,8,4.721384048,5.079407215,0.02452792972,0.06279297173,0.0007069194689,true
1,6,2,5.500297546,5.524530411,0.00606277585,0.00355203636,3.377675966e-06,true
1,6,4,5.389091492,5.493222713,0.0120652914,0.0181291271,3.402374932e-05,true
1,6,8,5.092315197,5.393725872,0.02425387502,0.05555386096,0.0002591923403,true
2,6,2,5.507274628,5.53426981,0.006046518683,0.004092403688,3.696196927e-06,true
2,6,4,5.390516758,5.485647202,0.01427449286,0.01715020835,3.233636016e-05,true
2,6,8,5.027581692,5.352514267,0.02409942634,0.06421282142,0.000266479823,true
4,6,2,5.499087334,5.528093815,0.006061598659,0.004018807318,3.387685865e-06,true
4,6,4,5.389341831,5.480890751,0.01203945279,0.017544806,3.700968955e-05,true
4,6,8,5.063962936,5.352250099,0.03061755747,0.0437270999,0.0001980997331,true
