arm,seed,start_step,step,layer_param,head0_weight_norm,head1_weight_norm,head_weight_norm_ratio,head0_update_norm,head1_update_norm,head_update_norm_ratio,head0_angular_step,head1_angular_step,full_vs_headwise_update_cosine
control,1,2000,correctness_1step,layer_000.wq,,,,,,,,,0.8250446349|relL2=0.5976642632|maxAbs=0.001322908327
control,1,2000,2001,layer_000.wq,5.609137259,5.473883586,0.9758869027,0.03822772935,0.03374742814,0.8827997034,1.539979542,1.561441851,
control,1,2000,2001,layer_000.wk,5.691313371,5.602550172,0.9844037408,0.04826835823,0.03581137983,0.7419224756,1.546743847,1.562183461,
control,1,2000,2001,layer_010.wq,5.820465803,6.238251084,1.071778668,0.01028666986,0.008193967266,0.7965617036,1.445257896,1.69632563,
control,1,2000,2001,layer_018.wq,5.312176452,5.559339985,1.046527734,0.02105223791,0.02933030012,1.393215308,1.586472104,1.531312874,
control,1,2000,2050,layer_000.wq,5.705057202,5.506552059,0.965205407,0.0340873867,0.02800230083,0.8214857031,1.568975135,1.641352847,
control,1,2000,2050,layer_000.wk,5.784423986,5.639316179,0.9749140437,0.04170012212,0.031439346,0.7539389431,1.569328034,1.632147483,
control,1,2000,2050,layer_010.wq,5.873907813,6.323890279,1.076607002,0.008186886647,0.005400521656,0.6596551154,1.469199395,1.504101831,
control,1,2000,2050,layer_018.wq,5.362206473,5.578407607,1.040319435,0.02127254379,0.02052495674,0.9648567159,1.52305566,1.603192046,
control,1,2000,2100,layer_000.wq,5.773578763,5.58857456,0.9679567543,0.0296387683,0.02757962784,0.9305254373,1.599030475,1.513323882,
control,1,2000,2100,layer_000.wk,5.850241841,5.717286257,0.9772734893,0.03391745879,0.0314573168,0.9274667949,1.595144591,1.52154999,
control,1,2000,2100,layer_010.wq,5.940412741,6.412506179,1.079471488,0.008476106141,0.008927622861,1.053269356,1.527284386,1.590354376,
control,1,2000,2100,layer_018.wq,5.426846055,5.630822691,1.03758659,0.02545839227,0.01756329489,0.6898823265,1.516380645,1.670208636,
control,1,2000,2150,layer_000.wq,5.849465457,5.659554525,0.9675336262,0.04148303893,0.03108348945,0.7493059875,1.585596856,1.557688338,
control,1,2000,2150,layer_000.wk,5.934307501,5.797679059,0.9769765146,0.05479225523,0.03663417973,0.6686014215,1.581841384,1.559939486,
control,1,2000,2150,layer_010.wq,6.009812368,6.500044791,1.081572002,0.01915268397,0.006860926404,0.3582227126,1.44662871,1.672219038,
control,1,2000,2150,layer_018.wq,5.48768583,5.697224995,1.038183521,0.01952623231,0.0232128697,1.188804339,1.608443282,1.542157087,
control,1,2000,2200,layer_000.wq,5.906536159,5.734428065,0.9708614169,0.03239426589,0.0306572768,0.9463797359,1.620766893,1.570968992,
control,1,2000,2200,layer_000.wk,5.991138839,5.860439107,0.9781844928,0.04004496033,0.03509587229,0.8764117132,1.610643011,1.57094391,
control,1,2000,2200,layer_010.wq,6.081701007,6.603833144,1.085852977,0.005577595927,0.008231600661,1.475833095,1.609773657,1.610666997,
